"proto_req_id","domain","title","statement","status","claim_confidence","assurance_maturity","evidence_ids","linked_requirement_ids","notes"
"FEC-F3E-PR-006C","fec_protocol","Execution restriction surface","Scheduler-relevant execution restrictions shall be surfaced as typed formula-level facts including thread-affine, host-query, async-coupled, serial-only, and single-flight-advisable lanes without leaking scheduler policy into OxFml.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-SYSTEM;DOC-OXFML-OXFUNC","XLS-CF-FEC-PR-003;XLS-CF-FEC-REF-002","Current local witnesses: `crates/oxfml_core/tests/fixtures/execution_contract_replay_cases.json`, `crates/oxfml_core/tests/fixtures/session_lifecycle_replay_cases.json`, `crates/oxfml_core/tests/scheduler_tests.rs`, and `crates/oxfml_core/tests/session_service_tests.rs`."
"FEC-F3E-PR-006D","fec_protocol","Runtime async overlay preservation","Async-coupled runtime lanes may surface typed overlay or effect material for replay and scheduler consumption, but those surfaced runtime facts remain evaluator truth rather than coordinator policy.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-TAXONOMY","XLS-CF-FEC-PR-003;XLS-CF-FEC-REF-002","Current local witnesses: `crates/oxfml_core/tests/session_service_tests.rs`, `crates/oxfml_core/tests/fixtures/session_lifecycle_replay_cases.json`, `formal/lean/OxFmlExternalReferenceDeferred.lean`, and `formal/tla/FecExternalCapabilityGate.tla`."
"FEC-F3E-PR-007","fec_protocol","Spill event typing","Spill transitions shall be explicit typed events (`SpillTakeover`,`SpillClearance`,`SpillBlocked`) within seam outputs.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST","XLS-CF-FEC-PR-001","Implicit spill-shape inference is disallowed."
"FEC-F3E-PR-008","fec_oxfunc","Prepared semantic boundary","The evaluator seam shall preserve the prepared semantic distinctions needed by OxFunc, including direct-scalar vs array-like vs reference-visible inputs and typed result classes.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-SHAPES;DOC-OXFML-OXFUNC","XLS-CF-FEC-REF-002","Depends on the OxFml formula-engine architecture contract."
"FEC-F3E-PR-008A","fec_oxfunc","Caller-context preservation","Caller-context-dependent scalarization and reference formation shall remain explicit across the OxFml to OxFunc boundary.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-OXFUNC","XLS-CF-FEC-REF-002","Required for `@`, `ROW`, `COLUMN`, and related semantics."
"FEC-F3E-PR-008B","fec_oxfunc","Locale and format service boundary","Locale identity, workbook date system, and format-language services required by function semantics shall be exposed as explicit evaluator facilities rather than hidden host fallbacks.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-OXFUNC","XLS-CF-FEC-REF-002","Supports `TEXT`, `VALUE`, `DOLLAR`, `FIXED`, `NOW`, and `TODAY` lanes."
"FEC-F3E-PR-008C","fec_oxfunc","Typed host-query capability boundary","Host-observing function lanes such as `CELL` and `INFO` shall consume typed capability-scoped host-query views rather than raw host objects or ad hoc callbacks.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-OXFUNC;DOC-OXFML-SCHEMAS","XLS-CF-FEC-REF-002","Preserves OxFunc/OxFml boundary discipline for host facts."
"FEC-F3E-PR-008D","fec_oxfunc","Helper-environment semantic-plan profile","The OxFml semantic plan shall surface helper-environment profile facts for `LET`, `LAMBDA`, helper invocation, and lexical helper capture need when those distinctions affect replay or downstream semantic coordination.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-OXFUNC;DOC-OXFML-SHAPES","XLS-CF-FEC-REF-002","Current local witnesses: `crates/oxfml_core/tests/fixtures/semantic_plan_replay_cases.json`, `crates/oxfml_core/tests/fixtures/prepared_call_replay_cases.json`, `crates/oxfml_core/tests/semantic_plan_tests.rs`, and `crates/oxfml_core/tests/evaluator_tests.rs`."
"FEC-F3E-PR-009","fec_protocol","Typed reject outcomes","Reject outcomes shall be machine-typed and replay-stable via `reject_code` plus typed context.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-SHAPES","XLS-CF-FEC-PR-004","Opaque reject strings are not contractual."
"FEC-F3E-PR-010","fec_trace","Trace schema contract","When tracing is enabled, seam events shall carry a versioned schema identifier and schema-validatable structured fields.","normative","high","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST","XLS-CF-FEC-REF-004","Trace schema is part of the conformance surface."
"FEC-F3E-PR-010A","fec_trace","Trace event taxonomy","Trace output shall distinguish lifecycle, candidate-result, commit, reject, and surfaced-effect event families sufficiently for deterministic replay.","normative","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-TAXONOMY","XLS-CF-FEC-REF-004","Event families must remain replay-sufficient."
"FEC-F3E-PR-011","fec_formal","Formal contract coupling","Each important seam contract clause shall map to a replay artifact, a conformance pack, or a formal model obligation in Lean or TLA+.","normative","medium","specified","DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-FORMAL","XLS-CF-FEC-PR-004","Current local checked artifacts now include `formal/lean/OxFmlSessionLifecycle.lean`, `formal/lean/OxFmlExternalReferenceDeferred.lean`, `formal/tla/FecSessionLifecycle.tla`, `formal/tla/FecExternalCapabilityGate.tla`, and `formal/run_formal.ps1`."
"FEC-F3E-PR-012","fec_hosting","DNA OneCalc compatibility mode","A reduced-profile single-node host may exercise the same evaluator contracts without implying OxCalc-owned scheduler policy.","provisional","medium","specified","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-SYSTEM;DOC-OXFML-TEST-LADDER;DOC-OXFML-DNA-HOST;DOC-OXFML-EMP-PACK","XLS-CF-FEC-PR-001","Current local witnesses: `crates/oxfml_core/tests/fixtures/single_formula_host_replay_cases.json`, `crates/oxfml_core/tests/fixtures/empirical_oracle_scenarios.json`, `crates/oxfml_core/tests/fixtures/empirical_pack_planning/dna_onecalc_host_policy_profiles.json`, `crates/oxfml_core/tests/fixtures/empirical_pack_planning/empirical_pack_candidate_groups.json`, and `crates/oxfml_core/tests/host_tests.rs`."
"FEC-F3E-PR-013","fec_replay","Replay adapter projection preserves OxFml semantics","Replay normalization for OxFml shall preserve source schema ids, typed seam artifacts, candidate-versus-publication separation, and typed reject/effect semantics without flattening local meaning into generic replay prose.","normative","medium","specified","DOC-FEC-TEST;DOC-FEC-ASSURANCE;DOC-OXFML-REPLAY-ADAPTER;DOC-OXFML-REPLAY-MANIFEST;DOC-OXFML-SHAPES;DOC-OXFML-TAXONOMY","REQ-RA-003;REQ-RA-004;REQ-RA-006;REQ-RA-010","Current local artifacts: `docs/spec/OXFML_REPLAY_APPLIANCE_ADAPTER_V1.md`, `docs/spec/OXFML_REPLAY_ADAPTER_CAPABILITY_MANIFEST_V1.json`, and `crates/oxfml_core/tests/replay_adapter_and_witness_tests.rs`."
"FEC-F3E-PR-014","fec_replay","Witness lifecycle and reduced-witness governance","Reduced OxFml replay witnesses shall carry explicit lifecycle state, retained-versus-pack eligibility boundaries, and reduction-manifest provenance; explanatory-only and quarantined outputs shall remain non-pack-eligible.","normative","medium","specified","DOC-FEC-TEST;DOC-FEC-ASSURANCE;DOC-FEC-FIXTURE-PLAN;DOC-OXFML-REPLAY-ADAPTER","REQ-RA-023;REQ-RA-038;REQ-RA-039","Current local artifacts: `crates/oxfml_core/tests/fixtures/witness_distillation/fec_reject_formula_token_reduction_manifest.json`, `crates/oxfml_core/tests/fixtures/witness_distillation/fec_accept_publication_reduction_manifest.json`, `crates/oxfml_core/tests/fixtures/witness_distillation/session_capability_denied_reduction_manifest.json`, `crates/oxfml_core/tests/fixtures/witness_distillation/execution_contract_host_query_reduction_manifest.json`, `crates/oxfml_core/tests/fixtures/witness_distillation/single_formula_host_scalarization_reduction_manifest.json`, `crates/oxfml_core/tests/fixtures/witness_distillation/empirical_oracle_host_query_reference_reduction_manifest.json`, `crates/oxfml_core/tests/fixtures/witness_distillation/retained_witness_set_index.json`, `crates/oxfml_core/tests/replay_adapter_and_witness_tests.rs`, and `crates/oxfml_core/tests/replay_retained_and_host_policy_tests.rs`."
"FEC-F3E-PR-015","fec_replay","Local normalized pack-candidate bundle evidence","Local normalized replay bundle evidence shall preserve source schema ids, witness refs, and explicit non-pack-eligible state while broader pack-grade promotion remains out of scope.","normative","medium","specified","DOC-FEC-TEST;DOC-FEC-ASSURANCE;DOC-FEC-FIXTURE-PLAN;DOC-OXFML-REPLAY-ADAPTER;DOC-OXFML-REPLAY-MANIFEST","REQ-RA-003;REQ-RA-017;REQ-RA-039","Current local artifacts: `crates/oxfml_core/tests/fixtures/replay_bundle_normalization/fec_commit_pack_candidate_bundle.json`, `crates/oxfml_core/tests/fixtures/replay_bundle_normalization/session_lifecycle_pack_candidate_bundle.json`, `crates/oxfml_core/tests/fixtures/replay_bundle_normalization/pack_candidate_index.json`, and `crates/oxfml_core/tests/replay_adapter_and_witness_tests.rs`."
"FEC-F3E-PR-016","fec_semantic_boundary","Minimum library-context snapshot floor","Where formula admission, replay classification, or provider-stage explanation depends on external catalog truth, OxFml semantic plans shall preserve a minimum per-surface library-context floor including stable surface identity, name-resolution table reference, semantic trait/profile reference, and gating/profile reference.","normative","medium","specified","DOC-OXFML-OXFUNC;DOC-OXFML-SHAPES;DOC-OXFML-API","XLS-CF-FEC-PR-004","Current local witnesses: `crates/oxfml_core/tests/library_context_snapshot_tests.rs`, `crates/oxfml_core/tests/semantic_plan_tests.rs`, and `crates/oxfml_core/tests/fixtures/library_context_snapshot_cases.json`."
"FEC-F3E-PR-017","fec_semantic_boundary","Typed callable minimum carrier","When a prepared result is semantically callable, OxFml shall preserve a typed minimum callable carrier including origin kind, invocation model, capture mode, and arity in addition to replay-oriented callable summaries.","normative","medium","specified","DOC-OXFML-OXFUNC;DOC-OXFML-SHAPES;DOC-OXFML-API","XLS-CF-FEC-PR-004","Current local witnesses: `crates/oxfml_core/tests/evaluator_tests.rs`, `crates/oxfml_core/tests/replay_fixture_tests.rs`, and `crates/oxfml_core/tests/fixtures/prepared_call_replay_cases.json`."
"FEC-F3E-GAP-001","fec_gap","Session timeout and cleanup","Session expiry, abort, and overlay-cleanup semantics require explicit reject and cleanup rules before promotion.","provisional","medium","planned","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-FORMAL","XLS-CF-FEC-PR-004","Open design lane."
"FEC-F3E-GAP-002","fec_gap","Coordinator contention replay","Deterministic contention replay for interleaved commits is required before multi-session promotion.","provisional","medium","planned","DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-FORMAL","XLS-CF-FEC-PR-004","Stage 2 prerequisite."
"FEC-F3E-GAP-003","fec_gap","Parallel coordinator hardening","Thread-safe coordinator/session storage and deterministic conflict handling are required before async/MVCC seam claims.","provisional","medium","planned","DOC-FEC-DESIGN;DOC-FEC-ASSURANCE;DOC-OXFML-FORMAL","XLS-CF-FEC-PR-004","Stage 2 prerequisite."
"FEC-F3E-GAP-004","fec_gap","Concurrent TLA+ model","A TLA+ model for concurrent evaluator sessions, retries, and publish fences is required before Stage 2 promotion.","provisional","medium","planned","DOC-FEC-ASSURANCE;DOC-FEC-TEST;DOC-OXFML-FORMAL","XLS-CF-FEC-PR-004","Concurrency must be model-checked, not only tested."
